Image_number_food_cues,trial,Fat,Carbs,Fat_x_Carbs
30,1,-14.988265,-20.9875,314.5662116875
170,2,-10.621265,-25.9875,276.0201241875
181,3,-15.921265,0.112500000000001,-1.79114231250001
256,4,-9.721265,24.9125,-242.1810143125
328,5,-13.621265,-25.4875,347.1719916875
9921,6,NaN,NaN,NaN
9906,7,NaN,NaN,NaN
9914,8,NaN,NaN,NaN
9915,9,NaN,NaN,NaN
9911,10,NaN,NaN,NaN
30,11,-14.988265,-20.9875,314.5662116875
170,12,-10.621265,-25.9875,276.0201241875
181,13,-15.921265,0.112500000000001,-1.79114231250001
256,14,-9.721265,24.9125,-242.1810143125
328,15,-13.621265,-25.4875,347.1719916875
9902,16,NaN,NaN,NaN
9908,17,NaN,NaN,NaN
9924,18,NaN,NaN,NaN
9919,19,NaN,NaN,NaN
9901,20,NaN,NaN,NaN
14,21,1.678735,14.4125,24.1947681875
61,22,-15.821265,52.1125,-824.4856723125
141,23,9.678735,-24.4875,-237.0080233125
202,24,20.578735,-24.8875,-512.1532673125
300,25,7.278735,28.3125,206.0791846875
62,26,-19.121265,-22.3875,428.0773201875
81,27,-19.121265,-7.2875,139.3462186875
144,28,-19.421265,-22.7875,442.5620761875
321,29,-7.121265,-3.7875,26.9717911875
331,30,-15.621265,-27.8875,435.6380276875
9902,31,NaN,NaN,NaN
9908,32,NaN,NaN,NaN
9924,33,NaN,NaN,NaN
9919,34,NaN,NaN,NaN
9901,35,NaN,NaN,NaN
1,36,14.078735,23.4125,329.6183831875
36,37,22.678735,11.2125,254.2853161875
72,38,-11.421265,33.1125,-378.1866373125
228,39,3.878735,17.5125,67.9263466875
326,40,17.578735,3.1125,54.7138126875
9918,41,NaN,NaN,NaN
9937,42,NaN,NaN,NaN
9935,43,NaN,NaN,NaN
9938,44,NaN,NaN,NaN
9913,45,NaN,NaN,NaN
3,46,12.778735,13.1125,167.5611626875
34,47,-6.261265,33.1125,-207.3261373125
115,48,0.578735000000002,23.4125,13.5496331875
199,49,25.578735,-26.9875,-690.3061108125
263,50,48.678735,-22.4875,-1094.6630533125
4,51,27.578735,-16.8875,-465.7358873125
24,52,2.878735,34.6125,99.6402151875001
104,53,17.878735,21.6125,386.4041601875
136,54,8.378735,6.7125,56.2422586875
192,55,9.478735,-10.8875,-103.1997273125
9918,56,NaN,NaN,NaN
9937,57,NaN,NaN,NaN
9935,58,NaN,NaN,NaN
9938,59,NaN,NaN,NaN
9913,60,NaN,NaN,NaN
4,61,27.578735,-16.8875,-465.7358873125
24,62,2.878735,34.6125,99.6402151875001
104,63,17.878735,21.6125,386.4041601875
136,64,8.378735,6.7125,56.2422586875
192,65,9.478735,-10.8875,-103.1997273125
9934,66,NaN,NaN,NaN
9927,67,NaN,NaN,NaN
9904,68,NaN,NaN,NaN
9926,69,NaN,NaN,NaN
9910,70,NaN,NaN,NaN
62,71,-19.121265,-22.3875,428.0773201875
81,72,-19.121265,-7.2875,139.3462186875
144,73,-19.421265,-22.7875,442.5620761875
321,74,-7.121265,-3.7875,26.9717911875
331,75,-15.621265,-27.8875,435.6380276875
1,76,14.078735,23.4125,329.6183831875
36,77,22.678735,11.2125,254.2853161875
72,78,-11.421265,33.1125,-378.1866373125
228,79,3.878735,17.5125,67.9263466875
326,80,17.578735,3.1125,54.7138126875
103,81,3.678735,-12.8875,-47.4096973125
138,82,-0.0212649999999996,-22.4875,0.478196687499992
142,83,-19.221265,-14.8875,286.1565826875
183,84,-6.521265,-21.6875,141.4299346875
322,85,-7.563665,7.2125,-54.5529338125
14,86,1.678735,14.4125,24.1947681875
61,87,-15.821265,52.1125,-824.4856723125
141,88,9.678735,-24.4875,-237.0080233125
202,89,20.578735,-24.8875,-512.1532673125
300,90,7.278735,28.3125,206.0791846875
103,91,3.678735,-12.8875,-47.4096973125
138,92,-0.0212649999999996,-22.4875,0.478196687499992
142,93,-19.221265,-14.8875,286.1565826875
183,94,-6.521265,-21.6875,141.4299346875
322,95,-7.563665,7.2125,-54.5529338125
58,96,-19.321265,-24.4875,473.1294766875
121,97,4.478735,-9.7875,-43.8356188125
131,98,8.578735,-27.5875,-236.6658518125
241,99,-18.921265,51.6125,-976.5737898125
323,100,-17.621265,17.4125,-306.8302768125
9921,101,NaN,NaN,NaN
9906,102,NaN,NaN,NaN
9914,103,NaN,NaN,NaN
9915,104,NaN,NaN,NaN
9911,105,NaN,NaN,NaN
3,106,12.778735,13.1125,167.5611626875
34,107,-6.261265,33.1125,-207.3261373125
115,108,0.578735000000002,23.4125,13.5496331875
199,109,25.578735,-26.9875,-690.3061108125
263,110,48.678735,-22.4875,-1094.6630533125
58,111,-19.321265,-24.4875,473.1294766875
121,112,4.478735,-9.7875,-43.8356188125
131,113,8.578735,-27.5875,-236.6658518125
241,114,-18.921265,51.6125,-976.5737898125
323,115,-17.621265,17.4125,-306.8302768125
9934,116,NaN,NaN,NaN
9927,117,NaN,NaN,NaN
9904,118,NaN,NaN,NaN
9926,119,NaN,NaN,NaN
9910,120,NaN,NaN,NaN
