"participantID" "studyID" "date" "expName" "psychopyVersion" "OS" "frameRate" "language" "fixation_dur" "activityID" "condition" "willi2pay" "Trial_RT"
NA "BON001" "2023-12-18_12h42.25.408" "willingness2pay" "2023.2.2" "Win32" 59.65519298 "uk" 0.10178213 1 "alone" 68 2.818
NA "BON001" "2023-12-18_12h42.25.408" "willingness2pay" "2023.2.2" "Win32" 59.65519298 "uk" 0.156109062 9 "alone" 100 1.733
NA "BON001" "2023-12-18_12h42.25.408" "willingness2pay" "2023.2.2" "Win32" 59.65519298 "uk" 0.331583434 22 "alone" 0 1.516
NA "BON001" "2023-12-18_12h42.25.408" "willingness2pay" "2023.2.2" "Win32" 59.65519298 "uk" 0.258746738 7 "alone" 100 1.2826
NA "BON001" "2023-12-18_12h42.25.408" "willingness2pay" "2023.2.2" "Win32" 59.65519298 "uk" 0.9 6 "alone" 0 1.2828
NA "BON001" "2023-12-18_12h42.25.408" "willingness2pay" "2023.2.2" "Win32" 59.65519298 "uk" 0.574291479 11 "together" 100 1.3164
NA "BON001" "2023-12-18_12h42.25.408" "willingness2pay" "2023.2.2" "Win32" 59.65519298 "uk" 0.201365764 15 "together" 0 1.5826
NA "BON001" "2023-12-18_12h42.25.408" "willingness2pay" "2023.2.2" "Win32" 59.65519298 "uk" 0.171235034 10 "together" 100 1.4831
NA "BON001" "2023-12-18_12h42.25.408" "willingness2pay" "2023.2.2" "Win32" 59.65519298 "uk" 0.589433589 2 "alone" 0 1.2658
NA "BON001" "2023-12-18_12h42.25.408" "willingness2pay" "2023.2.2" "Win32" 59.65519298 "uk" 0.671292331 13 "alone" 38 1.6524
NA "BON001" "2023-12-18_12h42.25.408" "willingness2pay" "2023.2.2" "Win32" 59.65519298 "uk" 0.656064466 3 "together" 71.5 1.0663
NA "BON001" "2023-12-18_12h42.25.408" "willingness2pay" "2023.2.2" "Win32" 59.65519298 "uk" 0.9 16 "alone" 20 2.7162
