activityID,activityUK,activityGer,monetaryValue
1,Cinema,Kino,10
2,Trampoline park,Jumphouse,16
3,Indoor glow golf,Schwarzlicht Minigolf,13
4,Escape room,Escape room,54
5,Wellness,Wellness,25
6,Rock wall climbing,Kletterhalle,12
7,Zoo,Zoo,23
8,Cooking course,Kochkurs,90
9,Theatre,Theater,25
10,Pottery,Töpferkurs,20
11,Lasertag,Lasertag,10
12,Museum,Museum,10
13,Gym,Fitnessstudio,45
14,Boat cruise,Bootstour,20
15,City tour,Stadttour,20
16,Swimming pool,Schwimmbad,5
17,High rope course,Klettergarten,20
18,Shopping,Shopping,20
19,Concert,Konzert,40
20,Opera,Oper,40
21,Comedy event,Comedy-veranstaltung,40
22,Ice cream parlor,Eiscafe,5
23,Restaurant,Restaurant,30
24,Coffee shop,Cafe,5
